id,Question,A,B,C,D
37,Mandalay là c? dô c?a d?t nu?c Châu Á nào?,Myanmar,Sri Lanka,Butan,Nepal
38,Sông nào không ph?i c?a khu v?c Ðông Á?,O  phrat ,Amua ,Hoàng Hà ,Tru?ng Giang 
39,Qu?c k? Indonesia có 2 màu tu?ng trung cho di?u gì?,"G?o, du?ng","G?o, hoa ","G?o, mu?i ","Ðu?ng, hoa "
40,Sofia là th? dô c?a qu?c gia nào?,Bulgaria,Brunei,Bangladesh,Hungaria
41,H? nu?c nào có du?ng xích d?o ch?y qua?,H? Victoria ,H? Ladoga ,H? Baikal ,H? Tonglesap 
42,"Trong cu?c khai thác thu?c d?a l?n 2, th?c dân Pháp d?u tu v?n nhi?u nh?t vào ngành nào?",Nông nghi?p và khai thác ,Công nghi?p ch? bi?n ,Nông nghi?p và thuong m?i ,Giao thông v?n t?i 
43,Máy vi tính vào giai do?n d?u du?c dùng cho?,Quân s? ,Ði?n toán ,Kinh t? ,Khoa h?c 
44,Nu?c nào sau dây n?m gi?a Ba Lan và Hungary?,Slovakia ,Bungary,Ph?n Lan,Latvia
45,Th? dô nào lâu d?i nh?t Ðông Nam Á?,Hà N?i ,Bang C?c,Phnom Penh,Viên Chan
46,Ðàn Talu là c?a dân t?c nào ? nu?c ta?,Vân Ki?u ,Thái ,Raglai ,HMông
47,Áo không giáp nu?c nào sau dây ?,Romani ,Slovakia , CH Séc ,Ð?c
48,Ngu?i châu Âu d?u tiên thám hi?m sông Mekong là ngu?i qu?c gia nào?,B? Ðào Nha ,Pháp,Hà Lan ,Tây Ban Nha
49,Ð?n nam 2002 t? ch?c ASEAN g?m bao nhiêu qu?c gia?,10,9,8,7
50,"Chi?n th?ng Gi?ng Th? Ðam , Gò Qu?ng Cung là m? màn c?a cu?c kh?i nghia nào?",Ð?ng kh?i B?n Tre ,Kh?i nghia Nam K? ,Kh?i nghia Lam Son ,Kh?i nghia Hai Bà Trung 
51,"Món gà quay có ý nghia là xin chúc s?c kho? anh, tuong ?ng v?i quan ni?m c?a ngu?i nu?c nào khi an?",Ai Len ,Pháp ,Ð?c ,Hà Lan 
52,Ngu?i d?u tiên thám hi?m vòng quanh trái d?t là ngu?i nu?c nào?,B? Ðào Nha ,Anh ,Tây Ban Nha ,Ð?c 
53,Nu?c nào sau dây n?m gi?a Ð?c và Ba lan ?,CH Séc ,Ðan M?ch,Hà Lan ,Ph?n Lan
54,Nu?c Ð?c không giáp v?i qu?c gia nào sau dây?,Italy ,CH Séc, Ba Lan ,Pháp
55,Nhà bác h?c d?u tiên dua ra khái ni?m nguyên t? là?,Ðêmôcrit ,Mendêlêép ,Lavoadiê,Rodopho
56,Brazil không giáp v?i qu?c gia nào sau dây?,Ecuador ,Peru ,Venezuela ,Paraguay
57,Qu?c h?i khoá m?y là qu?c h?i ng?n nh?t nu?c ta?,V,II,III,VI
58,Kênh dào Panama du?c m? c?a vào nam nào ?,1914,1924,1894,1884
59,L?n d?u tiên con ngu?i d?t chân lên m?t trang vào nam nào?,Nam 1969 ,Nam 1966 ,Nam 1967,Nam 1968
60,Kênh dào Suez dài kho?ng bao nhiêu?,195km,225km,165km,125km
61,"Trong truy?n thuy?t Á Ðông tru?c dây, Phu?ng Hoàng là?",C?p tr?ng mái ,Con mái ,Con tr?ng ,Không xác d?nh 
62,"T?ng vang danh m?t th?i, nhóm nh?c Bee Gees g?m m?y thành viên?",3,1,2,4
63,"S?n xu?t axit vô co, phân bón, thu?c tr? sâu, thu?c nhu?m thu?c vào?",Hoá ch?t co b?n ,Hoá t?ng h?p h?u co ,Hoá d?u,Hoá h?c vô co 
64,"Trong các v? danh nhân l?ch s? Vi?t Nam, ngu?i nào sau dây t?ng là Ti?t Ð? S?",Khúc Th?a D?,Tr?n Qu?c Tu?n,Ngô Quy?n,Ðinh B? Linh
65,Electron du?c tìm th?y vào nam nào?,1987,1984,1985,1986
66,Ai là ngu?i d?u tiên phát hi?n: Ánh sáng có v?n t?c h?u h?n?,Christensen Roeme,Issac Newton,Galileo,Anbe Einstein
67,Sao La là loài d?ng v?t quý hi?m ch? xu?t hi?n ? Vi?t Nam và Lào và du?c phát hi?n ra nam nào?,1992,1990,1996,1994
68,"Qu?c gia nào là quê huong c?a di?u, m?t trò choi dân gian n?i ti?ng?",Trung Qu?c ,Vi?t Nam ,Mông C? ,Lào
69,Tên g?i Ba Ðình xu?t phát t? d?a danh nào?,Thanh Hoá ,Hà Nam,Ngh? An ,Ngh? Tinh 
70,Hành tinh nào sau dây trong h? m?t tr?i có vành dai v?t ch?t bao quanh?,Sao Th?,Sao Kim,Sao M?c,Sao H?i Vuong
71,Kh?i nghia Lam Son kéo dài trong kho?ng th?i gian nào?,T? nam 1418 - 1427,T? nam 1418 - 1428,T? nam 1417 - 1427,T? nam 1417- 1428
72,"Tính d?n nam 2013 Tòa nhà Burj khalifa là tòa nhà cao nh?t th? gi?i, nó du?c khánh thành nam nào?",2010,2011,2009,2008
73,Nu?c nào sau dây không giáp bi?n?,Zambi,Namibia,Gabon,Ghana
74,"Trong các d?ng vu?n ngu?i, loài vu?n nào có d?c di?m g?n gi?ng v?i con ngu?i nh?t?",Kh? Gôrila,Vu?n,Tinh tinh ,Ðu?i uoi
75,Electron du?c ai tìm ra?,Tômxon ,Rodopho,Chatwich,Culông
76,"Trong các tia sau dây, tia nào có bu?c sóng ng?n nh?t?",Tia Gamma,Tia H?ng Ngo?i ,Tia X,Tia t? ngo?i 
77,Hatikva bài ca hy v?ng là tên b?n qu?c ca c?a nu?c nào?,Israel ,Conggo ,Mông C?,Hy L?p 
78,Cu?c kh?i nghia Huong Khê b?t d?u và k?t thúc nam nào?,1885  1896,1884  1896,1885  1986,1858  1896
79,Sông Tô L?ch Hà N?i là tên g?i b?t ngu?n t? dâu?,Tên 1 ngu?i dân ,Tên 1 ng?n núi ,Tên 1 cái h? ,Tên 1 loài chim 
80,"T? 6 gi? sáng d?n 6 gi? chi?u, kim gi? và kim phút trùng nhau bao nhiêu l?n?",11,10,12,13
81,Nu?c nào sau dây n?m gi?a Sudan và Somalia?,Ethiopia,Tazania,Niger,Angola
82,S? hi?u chi?c xe tang dã húc d? c?ng dinh d?c l?p ngày 30 tháng 4 nam 1945?,390,380,843,348
83,Công th?c hóa h?c c?a khí cu?i?,N2O,NO2,N2O3,HNO3
84,C?t s?ng hình ch? S ? ngu?i có liên quan d?n ho?t d?ng nào sau dây?,"Ði, d?ng th?ng",Phát tri?n ti?ng nói ,S? d?ng công c? ,Tu duy tr?u tu?ng
85,Enzym Pepsin do co quan nào ti?t ra?,D? dày ,Gan ,M?t ,Ru?t 
86,Chuy?n bay d?u tiên c?a con ngu?i vào vu tr? ti?n hành vào nam nào?,1961,1946,1954,1975
87,Tr?n Hi?u Ngân là v?n d?ng viên d?u tiên c?a Vi?t Nam nh?n Huy chuong B?c ? Olympic nam nào?,2000,1996,2004,2008
88,Thành ph? c? nh?t c?a tân th? gi?i là thành ph? nào?,Mexico ,Ulan Bato ,New Deli ,Panama 
89,Ai là ngu?i d?u tiên phát hi?n ra khí cu?i?,Humphry Davy,Neil Bohr,Hans Fischer,Lavoadie
90,Ðánh d?u m?t th? h? m?i c?a virus máy tính là virus nào?,Sasser ,Melisa,Love Bug ,Slammer 
91,T? báo d?u tiên ? Vi?t Nam du?c in b?ng ch? qu?c ng? là t? báo nào?,Gia Ð?nh báo,Ngu?i cùng kh? ,Thanh niên ,Sài Gòn gi?i phóng 
92,Huy?n Giao Thu? tr?c thu?c t?nh nào c?a nu?c ta?,Nam Ð?nh ,Ninh Bình ,Thái Bình ,Hà Nam 
93,Ai là ngu?i d?u tiên ch?ng minh trái d?t có d?ng hình c?u?,Aristole,Copecnic,Galileo,Acsimet
94,Vi?t Nam và M? chính th?c l?p l?i quan h? bình thu?ng vào nam nào?,1995,1993,1994,1996
95,Nguy?n Kh?c Hi?u  là tên th?t c?a nhà tho nào?,T?n Ðà,T? H?u ,Nguy?n Ðình Chi?u ,Tú Xuong 
96,"Bracoc là c? dô ít b? tàn phá nh?t ? châu Âu, nó thu?c qu?c gia nào?",Ba Lan ,Hà Lan ,Ph?n Lan ,Thu? Si 
97,C?u th? d?u tiên ghi bàn trong l?ch s? bóng dá World Cup?,Lucien Laurent,Hakan Sukur,Just Fontaine,Sandor Kocsis
98,V?n t?c c?a trái d?t bay xung quanh m?t tr?i là bao nhiêu?,107.000 Kmh,177.000 Kmh,707.000 Kmh,101.000 Kmh
99,Bayon là ngôi d?n ?n tu?ng nh?t c?a ki?n trúc d?n núi do s? hùng vi v? qui mô cung nhu v? c?m xúc mà nó dem l?i cho ngu?i xem?,Campuchia ,?n Ð? ,Thái Lan ,Lào 
100,Võ su sáng l?p ra môn võ Vovinam tên là gì?,Nguy?n L?c ,Nguy?n Van ,Nguy?n Tu?n ,Nguy?n Ng?c 
101,Huy?n Ki?n Xuong tr?c thu?c t?nh nào c?a nu?c ta?,Thái Bình ,H?i Phòng ,Nam Ð?nh ,Hà Nam 
102,Th? nào sau dây không du?c nh?c d?n trong bài tho Ðây thôn V? D? c?a Hàn M?c T??,Tr?u,Áo,Mang,Mây
103,Ngô Quy?n có quan h? gì v?i Duong Ðình Ngh? ,Con r?,B?n,Cháu ,Con 
104,Bài tho Lu?m du?c T? H?u sáng tác vào nam nào?,1949,1952,1959,1944
105,Bác H? dã ra di tìm du?ng c?u nu?c vào ngày tháng nam nào ?,Ngày 5 tháng 6 nam 1911,Ngày 6 tháng 5 nam 1911,Ngày 7 tháng 6 nam 1911,Ngày 6 tháng 7 nam 1911
106,Bác H? l?n d?u tiên t?i Pháp nam 1911 ? thành ph? nào sau dây?,Le Havre,Toulouse,Normandie,Marseille
107,Ð?o ph?c sinh n?m ? vùng nào sau dây?,Thái Bình Duong,Ð?a trung h?i,Caribe,?n Ð? Duong
108,Ðàn b?u xu?t hi?n ? Vi?t Nam vào kho?ng th?i gian nào?,Th? k? th? 7 ,Th? k? th? 9 ,Th? k? th? 11 ,Th? k? th? 17 
109,Huy?n Ti?n H?i tr?c thu?c t?nh nào c?a nu?c ta?,Thái Bình ,Nam Ð?nh ,H?i Phòng ,H?i Duong 
110,Hành tinh nào không có b?u khí quy?n?,Kim tinh ,M?c tinh,Thu? tinh ,Trái d?t
111,Qu?c gia nào s? t? ch?c th? v?n h?i mùa hè Olympic nam 2012?,Anh ,Brazil ,Hoa K? ,Nh?t B?n
112,"Guom mài dá, dá núi cung mòn có trong tác ph?m nào c?a Nguy?n Trãi?",Bình Ngô d?i cáo ,?c Trai thi t?p ,H?ch tu?ng si ,L?c Vân Tiên
113,B? phim Cánh d?ng hoang d?a trên tác ph?m c?a nhà van nào?,Quang Sáng ,Th?ch Lam ,Nam Cao ,H?ng Phát 
114,Thành ph? nào có nhi?u d?n th? nh?t th? gi?i?,Pushkar ?n Ð? ,Thimpu Butan,Rangon Myanmar,Viêng Chan Lào
115,"Chu?t Micky là nhân v?t ho?t hình c?a di?n ?nh Hoa K?, b?n cho bi?t chú chu?t này ra d?i nam nào?",1928,1940,1956,1917
116,"Hành l? nan, Tinh d? thu, Thái liên khúc là nh?ng bài tho c?a tác gi? nào sau dây?",Lý B?ch ,T? Ngung ,Ngô Quân ,Ð? Ph? 
117,Ð?ng ti?n d?u tiên trong l?ch s? nu?c ta du?c dúc du?i th?i nào?,Nhà Ðinh ,Nhà Tr?n ,Nhà h?u Lê ,Nhà Nguy?n 
118,Chi?n th?ng nào c?a nu?c ta dã ch?m d?t vinh vi?n n?n xâm lang c?a phong ki?n phuong B?c v?i nu?c ta?,Ng?c H?i  Ð?ng Ða ,B?ch Ð?ng Giang ,Chi Lang  Xuong Giang ,Ði?n Biên Ph? 
119,Qu?c gia nào là quê huong c?a bia Heiniken?,Hà Lan ,Thu? Ði?n,Thu? Si,Ba Lan 
120,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 2008?,Trung Qu?c,Australia,Hy L?p ,0
121,T?t c? các d?ng v?t có vú d?u có m?y d?t s?ng c??,7,6,8,9
122,Tri?u Tiên b? chia làm 2 mi?n Nam B?c t?i vi tuy?n s? bao nhiêu?,38,27,45,61
123,Thành ph? yên tinh nh?t th? gi?i là thành ph? nào?,Algie Algeria,Hu? Vi?t Nam ,Paris Pháp,Ulan Bato Mông C? 
124,"Ð?a ch?n k?, m?t công c? d? phát hi?n nh?ng ch?n d?ng c?a trái d?t, d?u tiên du?c phát minh vào th? k? th? nh?t tru?c công nguyên, t?i?",Trung Qu?c ,?n Ð? ,Hy L?p ,Ai C?p 
125,Ngu?i hi?n thân cho s?c m?nh và v? d?p c?a ngu?i Hy L?p trong tru?ng ca Illiat và Odyssey?,Asin ,Th?n D?t ,Odixe ,Hecquyn 
126,H? Bi?u Chánh là tác gi? c?a tác ph?m nào du?i dây?,Ng?n c? gió dùa ,N?ng trong vu?n ,Sông Côn mùa lu ,Lão H?c 
127,Câu nói n?i ti?ng: M?t bu?c nh? c?a ngu?i là bu?c nh?y v?t kh?ng l? c?a nhân lo?i là c?a ai?,Neil Amstrong,John Boyd Dunlop,John Davison Rockefeller,Henry Ford
128,Trong bàn c? vua có t?t c? bao nhiêu quân mã?,4,3,2,5
129,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 2004?,Hy L?p ,Trung Qu?c,Brazil,Anh 
130,Cá rô phi ?p tr?ng ? dâu?,Trong mi?ng ,Trong mang ,Du?i cát ,Trên t?o 
131,Th?i gian d? m?t tr?i quay quanh tâm Thiên Hà c?a chúng ta?,225 tri?u nam ,225 nghìn nam ,225 v?n nam ,225 t? nam 
132,"Ðon v? nào sau dây du?c dùng d? do ti?ng ?n, ti?ng d?ng?",Deciben,Decimet,Decagam,Không có 
133,Nu?c nào s?n xu?t ô tô nhi?u nh?t th? gi?i?,Nh?t B?n ,M? ,Ð?c ,Hàn Qu?c 
134,V? Giáo Hoàng d?u tiên là ai?,Thánh Peter,Thánh Paul ,Thánh John ,Thánh Marc
135,"Trong truy?n 7 viên ng?c r?ng n?i ti?ng, r?ng thiêng xu?t hi?n l?n d?u tiên ? t?p bao nhiêu?",T?p 3 ,T?p 2 ,T?p 6 ,T?p 9 
136,Giao hu?ng tho N? anh hùng mi?n Nam là sáng tác c?a nh?c si nào?,Nguy?n Th? Nhung ,Hoàng Vi?t ,Nguy?n  Ðình Tân ,Nguy?n Xinh 
137,Siêu sao di?n ?nh Thành Long c?a Trung Qu?c có h? là gì?,Tr?n,Lý ,Tri?u ,H? 
138,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 2000?,Australia,Hy L?p ,Trung Qu?c,Tây Ban Nha
139,Di s?n nào c?a Vi?t Nam du?c UNESCO công nh?n là di s?n van hoá phi v?t th? 2005?,C?ng  chiêng ,Áo dài ,Tranh Ðông H? ,Tr?ng d?ng
140,Ai là ngu?i phát hi?n ra khí quy?n trên sao Kim?,Lomonosov,Kepler,Copernicus,Galileo
141,Nu?c có kh?i lu?ng riêng l?n nh?t ? bao nhiêu d? C?,4 d? C ,100 d? C ,7 d? C ,0 d? C 
142,Thành ph? cao nh?t th? gi?i là thành ph? nào trong các thành ph? sau?,Lapaz Bolivia,Thimpu Butan,Santiago Chile,Panama Panama
143,Tr? s? c?a ngân hàng th? gi?i n?m ? thành ph? nào c?a M??,Washington,New York,New Mexico,Texas
144,Ngu?i anh hùng dã làm nên chi?n công d?t cháy tàu Hy V?ng c?a Pháp trên sông Nh?t T?o là ai?,Nguy?n Trung Tr?c ,Truong Ð?nh,Thi?n H? Duong ,Th? Khoa Huân 
145,Rabindranath Tagore dã nh?n gi?i Nobel ? linh v?c nào?,Van h?c ,Toán h?c ,Hoá h?c ,Y h?c 
146,Kê rô sin là nguyên li?u thu?ng du?c dùng ? dâu?,Máy bay ph?n l?c,Ch? bi?n th?c ph?m,In ?n,S?n xu?t vi m?ch
147,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1996?,Hoa K?,Brazil ,Australia,Anh 
148,Nguy?n Van Tài là tên th?t c?a nhà van nào?,Kim Lân ,Nam Cao ,Th?ch Lam ,Vu Tr?ng Ph?ng
149,Charlemange là tên th?t c?a v? vua nào?,Karl d?i d?, Alexander d?i d? ,Heirich d? t? ,Otto d?i dê
150,Su doàn 308 có tên là Ð?i doàn tiên phong du?c thành l?p vào nam nào?,1969,1966,1967,1968
151,Thành ph? có nhi?u bia nh?t th? gi?i là thành ph? nào?,Dublin Ailen,London Anh,Paris Pháp ,Stockhom Thu? Ði?n 
152,Karaoke du?c phát minh vào nam nào?,1971,1970,1972,1973
153,Th? linh c?a cu?c kh?i nghia Huong Khê là ai?,Phan Ðình Phùng,Nguy?n Quang Bích ,Ðinh Công Tráng ,T?ng Duy Tân 
154,"Truy?n 7 viên ng?c r?ng n?i ti?ng, t?p cu?i cùng tên là gì?",T?m bi?t ng?c r?ng ,Th?i th? t?o anh hùng ,Bí m?t Ma Bu ,Ca khúc kh?i hoàn 
155,"Rabindranath Tagore là ngu?i nh?n gi?i Nobel van h?c, ông là ngu?i nu?c nào?",?n Ð? ,Trung Qu?c ,Ai C?p ,Hy L?p 
156,Ðàn Ðáy có m?y dây?,0,1,2,3
157,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1992?,Hoa K?,Brazil ,Australia,Anh 
158,Ðàn L?c huy?n c?m thu?c lo?i dàn nào?,Guitar ,Piano ,Ðàn tranh ,Violon 
159,Ánh sáng m?t tr?i ph?n x? t? Thiên vuong tinh có màu gì?,Màu xanh bi?c ,Màu d? ,Màu tím ,Màu vàng 
160,Thành ph? nào du?c xem là thành ph? h?nh phúc nhà nu?c quan tâm d?n ngu?i Nghèo?,Stockhom Thu? Ði?n ,Oslo Nauy,Hensinki Ph?n Lan,Ankara Th? Nhi Kì
161,Email có t? nam nào?,1971,1981,1960,1990
162,Lãnh d?o cu?c kh?i nghia Bãi S?y là ai?,Nguy?n Quang Bích ,Nguy?n Thi?n Thu?t ,Hoàng Hoa Thám ,Phan Ðình Phùng 
163,Ban nh?c n?i ti?ng nào sau dây dã t?ng d?n Vi?t Nam trình di?n?,Boney M,ABBA,Pussy cat dolls,MTV 
164,Luong Th? Vinh thu?ng du?c nhân gian g?i là tr?ng gì?,Tr?ng Lu?ng,Tr?ng Qu?nh ,Tr?ng Trình ,Tr?ng L?n 
165,Hành tinh nào nóng nh?t trong h? m?t tr?i?,Sao Thu? ,Sao Kim ,Sao Ho? ,Sao M?c 
166,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam1988?,Hàn Qu?c,Hoa K? ,Australia,Brazil
167,Bài tho nào không n?m trong chùm tho mùa thu c?a Nguy?n Khuy?n?,Thu ng?m ,Thu ?m ,Thu v?nh,Thu di?u 
168,"Trong các ch?t sau dây, ch?t nào có nhi?t d? sôi cao nh?t?",NAmyl axetat,NAmylic,Propionic,NValeric
169,Thành ph? có h? th?ng giao thông công c?ng t?t nh?t th? gi?i là thành ph? nào?,London Anh ,Tokyo Nh?t B?n ,B?c Kinh Trung Qu?c ,Berlin Ð?c 
170,Máy in du?c phát minh vào nam nào?,1730,1450,1340,1560
171,Anh hùng áo v?i là nói d?n v? anh hùng dân t?c nào?,Nguy?n Hu? ,Tr?n Qu?c To?n ,Lê L?i ,Lê Lai 
172,"Khi tan v?, Liên bang Xô Vi?t có bao nhiêu nu?c thành viên?",15 nu?c thành viên ,8 nu?c thành viên ,10 nu?c thành viên ,16 nu?c thành viên 
173,Nam nào du?c g?i là Nam Châu Phi?,1960,1959,1958,1961
174,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1984?,Hoa K?,Hàn Qu?c ,Tây Ban Nha,Anh
175,"Vào th? chi?n th? 2, tu?ng Oscar du?c làm b?ng gì?",Th?ch cao ,Vàng,Thu? tinh ,Ð?ng 
176,Nhà toán h?c Turing là ngu?i nu?c nào?,Anh ,Pháp ,M?,Ð?c 
177,Toán lính Pháp cu?i cùng r?i kh?i mi?n B?c nu?c ta vào ngày tháng nam nào?,10051955,5051955,10101955,5101955
178,Thành ph? nào sau dây có các công trình gi?ng Paris c?a nu?c Pháp nh?t th? gi?i?,Bucares Rumania,Budapest Hungaria,Sofia Bungaria,Viên Áo 
179,Tàu ho? hoi nu?c ra d?i vào nam nào?,1825,1980,1845,1875
180,"Theo truy?n thuy?t Ai C?p, Nhân Su an th?t h?t t?t c? nh?ng ai?",Không gi?i du?c câu d? c?a nó ,Ai mà nó thích ,Không n?p c?ng v?t cho nó ,Ai mà nó b?t g?p 
181,Con ?ch du?c ngành v?t lý nào sau dây s? d?ng làm v?t thí nghi?m d?u tiên?,Ði?n h?c ,Âm h?c ,Quang h?c ,Nhi?t h?c 
182,Ông già B?n Ng? là ai?,Phan B?i Châu ,Bác H? ,Phan Ðình Phùng ,Phan Chu Trinh 
183,Quê huong c?a Ð?c Ph?t?,Nepal ,?n Ð? ,Pakistan ,Iran 
184,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa hè Olympic nam 1980?,Liên Xô,Hàn Qu?c,Thái Lan ,Vi?t Nam 
185,Ai là ngu?i d?u tiên s? d?ng thu?t ng? phép chia vàng?,Leonardo de Vinci,Fibonacci,Pithagor,Euclid
186,Gi?i vô d?ch bóng r? th? gi?i l?n th? 15 nam 2006 du?c t? ch?c ? nu?c nào?,Nh?t B?n ,M? ,Hy L?p ,Hàn Qu?c 
187,Bi?n Ba Ð?ng thu?c t?nh nào c?a nu?c ta?,Trà Vinh ,Kiên Giang ,Cà Mau ,Sóc Trang 
188,Lapaz là th? dô c?a qu?c gia nào?,Bolivia,Brazil,Bhutan,Belarus
189,Tháp Eiffel du?c hoàn t?t vào nam nào?,1889,1905,1883,1911
190,Chi?c máy tính d?u tiên trên th? gi?i có tên g?i là gì?,ENIAC ,ENICA,ENCA,ENICAC
191,Khi tr?i mua trong nu?c mua có ch?t gì làm cho s?t chóng g? sét?,Acid Nitric,Acid Oleic,Acid Oxalic,Acid Glutamic
192,Báo Ngu?i cùng kh? ra d?i nam nào?,1922,1920,1921,1923
193,Phong trào vô s?n hóa c?a H?i Vi?t Nam cách m?ng Thanh niên b?t d?u vào?,Tháng 9/1928,Tháng 6/1925,Tháng 12/1927,Tháng 1/1930
194,"Lý Bí lên ngôi, d?t qu?c hi?u nu?c ta là gì?",V?n Xuân,Ð?i C? Vi?t,Ð?i Vi?t,Ð?i Ngu
195,Vua phá lu?i Gi?i ngo?i h?ng Anh mùa bóng 2008  2009 là c?u th? nào?,Nicolas Anelka,Christiano Ronaldo,Fornando Torres,David Beckham
