id,Questions,A,B,C ,D
75,400 đến 600 năm là thời gian phân hủy trung bình của…?,Túi Nilon,Xác động vật,Xác thực vật,Giấy
76,"Tính đến năm 2016, công nghệ truyền thông không giây nào là mới nhất?",4G,2G,3G,5G
77,Chiếc điện thoại nào nào không có phím home vật lý?,Oppo F1,iPhone 3S,Samsung Galaxy s7,iPhone 6s
78,Cổng sạc dùng trên iPhone 5s là kết nối…?,Lightning,MicroUSB,Không dây,Sạc tròn 3.5
79,Hệ điều hành Windows 10 ra đời năm nào?,2015,2013,2014,2016
80,Bộ nhớ truy cập ngẫu nhiên trên máy tính viết tắt là gì?,RAM,RAA,RMM,RRM
81,Macbook là dòng máy tính của hãng nào?,Apple,IBM,Sony,Samsung
82,Huawei là hãng điện thoại của nước nào?,Trung Quốc,Hàn Quốc ,Nhật Bản,Mỹ
83,Hệ điều hành Windows không được sử dụng ở máy tính nào?,MacBook,Hp,Dell,Sony
84,Công nghệ nào được coi như là công nghệ 4G?,LTE,LTT,LEE,ETE
85,Cơ quan Hàng không và Vũ trụ Hoa Kỳ viết tắt là…?,NASA,NATO,WHO,WTO
86,Friendship 7 là tàu không gian có người lái đầu tiên của…?,Hoa Kỳ,Úc,Nga,Anh
87,iMac của Apple là thiết bị…?,Máy tính bàn,Laptop,Máy tính bảng,Điện thoại
88,Yahoo Messenger chính thức bị khai tử vào năm nào?,2016,2013,2014,2015
89,Yahoo Messenger được ra mắt đầu tiên vào năm…?,1998,2000,2002,2004
90,Thực hiện thành công công nghệ ghép gan đầu tiên trên thế giới cho người HIV ở?,Mỹ,Nhật Bản,Việt Nam,Hàn Quốc
91,Tính năng điều khiển bằng giọng nói trên iPhone là?,Siri,Siru,Sira,Sisi
92,Hệ điều hành iOS là của hãng nào?,Apple,Samsung,Sony,Nokia
93,Kính thực tế ảo Gear VR là của hãng nào?,Samsung,Sony,Apple,Google
94,"Đâu không phải là phần mềm chát, nhắn tin, gọi điện?",Safari,Skype,Viber,Facebook Messenger
95,Trình duyệt web mặc định trên iPhone là…?,Safari,Chrome,Firefox,Opera
96,Nhà sáng lập Apple Steve Jobs mất năm nào?,2011,2012,2013,2014
97,Oppo là thương hiệu đến từ nước nào?,Trung Quốc,Hàn Quốc ,Nhật Bản,Thái Lan
98,Lollipop là Android thế hệ nào sau đây?,Android 5.0,Android 4.4,Android 1.6,Android 6.0
99,Kho ứng dụng của Apple là?,App Store,Opera Store,Amazon Store,Google Play
100,Hệ thống thông tin di động toàn cầu viết tắt là…?,GSM,GSS,GPS,GMM
101,Dịch vụ giữ liệu mạng dạng gói dành cho người dùng gọi là?,GPRS,GGPS,GGSS,GPS
102,Bách khoa toàn thư mở bằng nhiều loại ngôn ngữ trên Internet là?,Wikipedia,Wikimedia,Wikepedia,Wekepedia
103,Đâu là phần mền để nén và giải nén?,WinRAR,Windows,Skype,Safari
104,Đại lộ danh vọng Hollywood nằm ở nước nào?,Mỹ,Anh ,Pháp,Nga
105,James Cameroon là đạo diễn của bộ phim nào?,Avatar,Spider Man,Iron Man,Captain American
106,Buổi thử vai của các diễn viên gọi là?,Casting,Cat,Cassing,Cating
107,Giải Oscar dành cho lĩnh vực gì?,Điện ảnh,Kinh tế,Âm nhạc,Văn hóa
108,Tượng vàng Oscar có hình gì?,Hình người,Hình quả bóng,Hình tam giác,Hình vuông
109,Bộ phim Fast and Furious 7 khởi chiếu vào năm nào?,2014,2013,2015,2016
110,Giải thưởng điện ảnh của Viện Hàn lâm Khoa Học và Nghệ thuật Điện ảnh Hoa Kỳ là…?,Oscar,Quả cầu vàng,Quả bóng vàng,Cành cọ vàng
111,Đâu là tập đoàn giải trí và truyền thông đa phương tiện?,Disneyland,Alibaba,Amazon,Apple
112,20th Century Fox là tên của một….?,Hãng phim,Bộ phim,Bài hát,Kênh truyền hình
113,Giải thưởng uy tín nhất được trao ở Liên hoan phim Cannes là giải?,Cành cọ vàng,Mâm xôi vàng,Oscar,Quả cầu vàng
114,Giải Cành cọ vàng là giải thường dành cho…?,Phim xuất sắc nhất,Bài hát hay nhất,Diễn viễn xuất sắc,Đạo diễn xuất sắc
115,Trụ sở chính của Walt Disney là ở….?,Mỹ,Pháp,Anh,Tây Ban Nha
116,Deadpool là bộ phim được công chiếu vào năm nào?,2016,2013,2012,2014
117,Nam diễn viên chính trong Seri phim Nhiệm vụ bất khả thi là ai?,Tom Cruise,Paul Walker,Leonardo,Jason Staham
118,Ai là người Mỹ gốc Hoa và là ngôi sao võ thuật nổi tiếng điện ảnh Mỹ?,Lý Tiểu Long,Thành Long,Lý Liên Kiệt,Hồng Kim Bảo
119,Bollywood là tên đặt cho ngành công nghiệp sản xuất phim nổi tiếng tại đâu?,Ấn Độ,Mỹ,Nhật Bản,Hàn Quốc
120,Đâu không phải là tên một hãng phim?,BBC,NBC Universal,Fox Entertainment Group,Time Warner
121,Kinh đô điện ảnh Hollywood nằm ở bang nào nước Mỹ?,California ,Texas ,Washington,Florida
122, Charlie Chaplin là diễn viên nổi tiếng về thể loại phim gì?,Hài,Võ thuật,Tình cảm,Chiến tranh
123,Phim hoạt hình bom tấn của hãng Universal năm 2016 tên là gì?,Minion,Kungfu Panda 3,Ice Age,Big Hero 6
124,Công ty Marvel ở Mỹ nổi tiếng với các bộ phim nói về…?,Siêu anh hùng,Ca sĩ,Người mẫu,Chiến tranh
125,Công nghệ mô phỏng bằng máy tính trong làm phim viết tắt là…?,CGI,CCG,CII,ICG
126,Phim Titanic được công chiếu năm nào?,1997,2000,2009,2015
127,Đoạn phim quảng cáo cho một bộ phim gọi là?,Trailer,Review,Movie,Film
128,Cựu vận động viên quyền anh Mike Tyson còn là một….?,Diễn viên,Ca sĩ,Nhạc sĩ,Giáo sư
129,"Năm 2016, Mike Tyson đã góp mặt trong bộ phim nào sau đây?",Diệp Vấn 3,Deadpool,Ice Age,Captain American
130,Đâu không phải là một bộ phim hoạt hình?,Deadpool,Ice Age,KungFu Panda 3,Big Hero 6
131,KungFu Panda 3 thuộc thể loại phim gì?,Hoạt hình,Chiến tranh,Tình cảm,Hạnh động
132,Nam diễn viễn chính trong phim Người Vận Chuyển 2 là ai?,Jason Statham,Tom Cruise,Paul Walker,Leonardo
133,Đâu là một bộ phim tình cảm?,Titanic,Người sắt,Sát thủ,Kẻ hủy diệt
134,Bộ phim Cuốn theo chiều gió ra mắt năm bao nhiêu?,1939,1999,2000,2006
135,Bộ phim điện ảnh Mỹ nói về tiểu sử tổng thống Abraham Lincoln có tên?,Lincoln,White House Down,Olympus Has Fallen,Southside With You
136,Leonardo đạt giải Oscar năm 2016 với bộ phim nào?,The Revenant,Titanic,Deadpool,Batman and Superman
137,Bộ phim Jungle Book được khởi chiếu năm nào?,2016,2015,2014,2013
138,Jungle Book 2016 thuộc thể loại phim gì?,Phiêu lưu,Hành động,Hoạt hình,Kinh dị
139,Bộ phim Cậu bé rừng xanh do hãng nào sản xuất?,Walt Disney Picture,Warner Bros,Paramount Pictures,20th Century Fox
140,Bộ  phim đầu tiên có tiếng tên là gì?, The Jazz Singer ,Tatanic,Pinocchio,Gone with The Wind
141,Phim có tiếng đầu tiên ra đời vào năm bao nhiêu?,1927,1935,1940,1942
142,Kỷ nguyên kỹ thuật số và DVD với nền điện ảnh là vào những năm nào?,Thập niên 90,Thập niên 70,Thập niên 80,Thập niên 2000
143,Ai sau đây là một đạo diễn phim nổi tiếng?,James Cameron,Selen Gomez,Justin Bieber,Taylor Swift
144,Pixar là hãng phim nổi tiếng của nước nào?,Mỹ,Ấn Độ,Tây Ban Nha,Việt Nam
145,Diễn viên nào là người Trung Quốc?,Thành Long,Jason Statham,Paul Walker,Tom Cruise
146,Giải Grand Slam trong đầu tiên trong năm là giải nào?,Úc mở rộng,Wimbledon,Mỹ mở rộng,Pháp mở rộng
147,Có mấy giải Grand Slam?,4,5,6,7
148,Đâu không phải là một giải Grand Slam?,Châu Phi mở rộng,Úc mở rộng,Wimbledon,Pháp mở rộng
149,AFC Asian Cup 2011 được tổ chức ở đâu?,Qatar,Hàn Quốc,Nhật Bản,Việt Nam
150,Đội nào vô địch tại AFC Asian Cup 2011?,Nhật Bản ,Hàn Quốc,Uzbekistan,Australia
151,Sự kiện giờ trái đất được tổ chức đầu tiên vào năm 2007 ở thành phố nào?,Sydney,Tokyo,Bắc Kinh,Hà Nội
152,Vitamin nào có thể tổng hợp từ ánh sáng mặt trời?,Vitamin D,Vitamin B,Vitamin A,Vitamin C
153,Nước nào ở Đông Nam Á không có địa giới với bất kỳ nước nào?,Philippines,Malaysia,Lào,Thái Lan
154,Bệnh sởi lây lan chủ yếu qua đường nào?,Hô hấp,Tình dục,Ăn uống,Máu
155,The ASEAN Way là ca khúc chính của ASEAN do nhạc sĩ nước nào sáng tác?,Thái Lan,Việt Nam,Lào,Malaysia
156,Thung lũng công nghệ nổi tiếng Silicon được đặt theo tên của nguyên tố nào?,Silic,Sắt,Uran,Thiếc
157,Thung lũng công nghệ Silicon nằm ở nước nào?,Mỹ ,Anh,Pháp ,Nga
158,Tập hợp các số thực được ký hiệu bằng chữ cái nào?,R,N,Z,Q
159,Việt Nam đăng cai cuộc thi sắc đẹp nào năm 2010?,Hoa hậu Thế giới,Hoa hậu Trái đất,Hoa hậu Hoàn vũ,Hoa hậu Quốc tế
160,Khí nào chiếm 80 phần trăm thành phần không khí?,N2,O2,H2,Cl2
161,Loài hoa được biết đến như quốc hoa của Việt Nam?,Hoa sen,Hoa súng,Hoa hồng,Hoa huệ
162,Bộ phim The Social Network nói về mạng xã hội nào?,Facebook,Twitter,Opera,Yahoo
163,"Trong môn đua xe đạp, tay đua có tổng thời gian ngắn nhất sẽ nhận được áo gì?",Áo vàng,Áo xanh,Áo chấm đỏ,Áo trắng
164,Con số được coi là xui xẻo với người Trung Quốc?,4,3,2,1
165,Sóng âm không truyền được trong môi trường nào?,Chân không,Lỏng,Rắn,Khí
166,Ando Momofuku là người Nhật đã phát minh ra món ăn gì phổ biến ngày nay?,Mỳ ăn liền,Bánh mỳ,Xúc xích,Gà rán
167,Bối cảnh diễn ra câu truyện Romeo và Juliet ở thành phố nào của Ý?,Verona,Milan,Rome,Venice
168,Giải Emmy là giải thưởng cao quý dành cho lĩnh vực nào?,Điện ảnh,Ca nhạc,Thời trang,Văn hóa
169,Trụ sở của Ngân hàng chung Châu Âu ở thành phố nào?,Frankfurt,New York,Paris,Brussel
170,Nước chủ nhà Copa America 2011 là nước nào?,Argentina,Boliviar,Venezuala,Paraguay 
171,Những đại phân tử được cấu tạo theo nguyên tắc đa phân mà các đơn phân là axít amin là gì?,Protein ,Axít,Vitamin,Chất béo
172,Nước nào đăng cai cuộc thi sáng tạo Robocon 2011?,Thái Lan,Việt Nam,Singapore,Malaysia
173,Ngày Sách Thế Giới được tổ chức thường niên vào ngày nào?,23 tháng 4,23 tháng 5,23 tháng 6,23 tháng 7
174,"Trong môn võ Taekwondo, cấp đai cao nhất có màu gì?",Đen,Đỏ,Trắng,Xanh
175,Màu đai đỏ trong môn võ Taekwondo có danh xưng là gì?,Võ sinh,Võ xinh huyền đai,Huyến luyện viên,Võ sư
176,Châu lục nào hoàn toàn nằm ở Tây bán cầu?,Châu Mỹ,Châu Á,Châu Âu,Châu Phi
177,Quinin là thuốc điều trị bệnh gì?,Bệnh sốt rét,Bệnh HIV,Bệnh đau đầu,Bệnh tim
178,Núi phú sĩ nằm trên hòn đảo nào?,Honshu,Shikoku,Hokkaido,Kyushu
179,Kim loại nào có khối lượng riêng nhỏ nhất?,Liti,Natri,Kali,Beri
180,Đồng thau là hợp kim của hai kim loại nào?,Đồng và kẽm,Đồng và sắt,Đồng và thiếc ,Đồng và nhôm
181,Các chùa ở Nhật Bản sẽ đánh bao nhiêu tiếng chuông vào đêm giao thừa?,108,100,70,68
182,Quân cờ nào có cả trên cờ vua và cờ tướng?,Mã,Pháo,Sĩ,Hậu
183,Đội bóng nước nào vô địch Giải vô địch bóng đá nữ thế giới năm 2011?,Nhật Bản ,Úc,Triều Tiên,Anh
184,Từ cao bồi trong tiếng việt được việt hóa từ từ nào?,Cowboy,Caoboy,Cowboi,Caoboi
185,Cao bồi nghĩa là gì?,Người chăn bò,Người chăn chim,Người chăn vịt,Người chăn gà
186,Hoàn thiện tiêu đề của bộ phim James Bond: The Man With The Golden…?,Gun,Tooth,Eges,Eyes
187,Điều gì là sai khi nói về thủy ngân?,Dẫn điện kém,Dẫn điện tốt,Dẫn nhiệt kém,Có ánh bạc
188,Vật dụng nào sau đây có sử dụng thủy ngân?,Nhiệt kế,Vô kế,Ampe kế,Đồng hồ
189,Thủy ngân có mấy đồng vị ổn định?,7,8,9,10
190, Nữ thần Aphrodite làn con gái của ai?,Thần Zeus,Thần đèn,Thần Thor,Apollo
191,Nguyên tố hóa học này sau đây khác với các nguyên tố còn lại?,Fe,C,P,S
192,Tổng sản phẩm quốc dân viết tắt là gì?,GNP,GDP,VAT,GPP
193,Chỉ số giá tiêu dùng viết tắt là gì?,CPI,GDP,VAT,GNP
194,Việt Nam chính thức ra nhập WTO vào năm nào?,2007,2008,2009,2010
195,Hiệp định Đối tác Xuyên Thái Bình Dương viết tắt là gì?,TPP,WTO,TTP,VAT
196,Hiệp định Đối tác Xuyên Thái Bình Dương được ký kết vào năm nào?,2005,2006,2007,2008
197,Tổ chức lao động quốc tế viêt tắt là gì?,ILO,IIO,LLO,OLL
198,"Năm 2015, GDP nước nào cao nhất Đông nam Á?",Indonesia,Việt Nam,Thái Lan,Malaysia
199,Nước Bỉ sử dụng đồng tiền gì?,Euro,USD,Rub,Nhân dân tệ
200,Từ nào sau đây khác so với các từ còn lại?,USD,WTO,WHO,UNICEF
201,Cục dự trữ liên bang Mỹ viết tắt là gì?,FED,FEE,FDD,FEE
202,Chỉ số giá sản xuất viết tắt là gì?,PPI,PPE,PII,IPI
203,Nợ xấu là khoản nợ được phân loại trong nhóm mấy?,4,8,6,2
204,Tổ chúc Hợp tác và Phát triển kinh tế viết tắt là gì?,OECD,WTO,WHO,UNICEF
205,Đâu là diễn đàn hợp tác Kinh tế Châu Á-Thái Binh Dương?,APEC,WTO,WHO,OECD
206,Trụ sở chính của diễn đàn hợp tác Kinh tế Châu Á-Thái Binh Dương ở đâu?,Singapore,Malaysia,Philippines,Việt Nam
207,"Năm 2016, APEC có bao nhiêu nước thành viên?",21,23,25,27
208,APEC được thành lập năm bao nhiêu?,1989,1990,1991,1992
209,Việt Nam ra nhập APEC năm nào?,1998,1999,2000,2003
210,Tổ chức thương mại thế giới WTO được thành lập năm nào?,1995,1997,1999,2001
211,Trụ sở chính của tổ chức thương mại thế giới ở đâu?,Thụy Sĩ,Bỉ,Anh,Pháp
212,Ngân hàng phát triển Châu Á viết tắt là gì?,ADB,ACB,HSBC,VPB
213,Trụ sở chính của ngân hàng phát triển Châu Á ở đâu?,Philippines,Malaysia,Singapore,Indonesia
214,Cộng đồng kinh tế Châu Phi viết tắt là gì?,AEC,APEC,WTO,WHO
215,Đâu là một tờ báo về kinh doanh quốc tế?,Financial Times,Play Boy,New York Times,CNN
216,Thời báo tài chính Financial Times có trụ sở ở đâu?,Anh ,Mỹ ,Úc ,Canada
217,Ủy ban kinh tế Tây Á viết tắt là gì?,ECWA,WTO,WHO,UNICEF
218,Hội đồng tượng trợ kinh tế viết tắt là gì?,COMECON,NATO ,WTO,WHO
219,Đâu là tạp chí kinh doanh lâu đời và nổi tiếng nhất hiện nay?,Forbes,Play Boy,CNN Money,CNBC
220,Tổ chức Liên hiệp quốc tế về phát triển công nghiệp viết tắt là gì?,UNIDO,WHO,UNICEF,NASA
221,Đâu là tên viết tắt của Cộng đồng kinh tế Châu Âu?,EEC,BBC,CNN,NATO
222,Sàn chứng khoán New York viết tắt là gì?,NYSE,NNSE,SYYS,NYSS
223,Quốc gia có trữ lượng vàng lớn nhất thế giới năm 2013?,Mỹ ,Anh ,Pháp,Trung Quốc
224,Show diễn Victoria's Secret là show diễn về thời trang gì?,Nội y,Công sở,Mùa hè,Mùa đông
225,Nói đến bộ sưu tập Xuân Hè là nói đến lĩnh vực gì?,Thời trang,Thể thao ,Điện ảnh,Văn hóa
226,Levis là thương hiệu thời trang nổi tiếng về loại quần gì?,Jeans,Thể thao ,Đùi,Quần sịp
227,Thương hiệu thời trang Levis được tạo dựng bởi ai?,Levi Strauss,Ronaldo,Justin Bieber,Madona
228,Thương hiệu Gucci được sáng lập năm nào?,1906,1990,1998,2003
229,Rolex là thương hiệu của sản phẩm nào?,Đồng hồ,Nhẫn,Ô tô,Đồ lót
230,Giá vé xem show diễn Victoria's Secret khoảng bao nhiêu tiền?,Vài trăm triệu,Vài chục nghìn,Vài trăm nghìn,Vài chục chiệu
231,Hãng thời trang Valentino sáng lập năm 1959 ở đâu?,Ý,Bỉ ,Úc,Anh
232,Louis Vuitton là tên của thương hiệu...?,Thời trang,Máy tính,Máy giặt,Điện thoại
233,Chanel là hãng thời trang…?,Cao cấp,Giá rẻ,Trung bình,Cho trẻ em
234,Victoria's Secret là nhà bán lẻ nội y lớn nhất tại nước nào?,Mỹ,Anh,Nga,Nhật Bản
235,Victoria's Secret được thành lập vào năm nào?,1977,1990,2008,2010
236,Đâu là kinh đô thời trang đầu tiên của thế giới?,Paris,New York,Milan,Tokyo
237,Kinh đô thời trang đầu tiên của Châu Á là ở đâu?,Tokyo,Milan,Seoul ,Bangkok
238,Tên hãng thời trang Calvin Klein là tên của….?,Nhà sáng lập,Bộ sưu tập,Chiếc áo,Chiếc váy
239,Hãng thời trang Calvin Klein được ra đời ở đâu?,Mỹ,Anh ,Ý,Canada
240,Phiên bản gốc Next Top Model có nguồn gốc ở nước nào?,Mỹ,Anh ,Việt Nam,Pháp
241,Bài hát được Maroon 5 thể hiện tại Victoria's Secret 2011 tên gì?,Moves Like Jagger,Sugar,Maps,Animals
242,Victoria Beckham không chỉ là ca sĩ mà còn là một?,Nhà thiết kế,Cầu thủ,Người mẫu,Chính trị gia
243,Tạp chí Vogue là tạp chí về lĩnh vực gì?,Thời trang ,Điện ảnh,Thể thao,Văn hóa
244,Tuần lễ thời trang New York được tổ chức mấy lần một năm?,2,3,4,4
245,Tuần lễ thời trang New York được tổ chức tháng 2 và tháng mấy?,9,10,11,12
246,Hiệp hội các nhà thiết kế thời trang Mỹ viết tắt là gì?,CFDA,CEO,CIA,BFI
247,Tuần lễ thời trang Paris diễn ra định kỳ vào tháng 1 và tháng mấy?,7,5,6,8
248,Các thiết kế mang tính ứng dụng và thực tiễn cao gọi là?,Thời trang ứng dụng,Thời trang cao cấp,Thời trang trẻ em,Thời trang thu đông
249,Đâu không phải là một nhà thiết kế nổi tiếng?,Justin Bieber,Donatella Versace,Tom Ford,Ralph Lauren
250,Quần Jeans ban đầu được thiết kế cho ai?,Thợ mỏ vàng,Thợ làm than,Chính trị gia,Ca sĩ
251,Marc Jacobs là nhà thiết kế thời trang nổi tiếng ở đâu?,Mỹ ,Ý,Pháp,Anh
252,Loại vải đầu tiên để làm nên quần Jeans?,Canvas,Coton ,Sợi dây,Tơ tằm
253,Hãng thời trang Dior được lấy tên theo tên của ai?,Nhà sáng lập Dior,Ca sĩ,Người mẫu,Diễn viên
254,Trụ sở chính của hãng thời trang Dior là ở nước nào?,Pháp,Mỹ ,Anh,Ý
255,Trụ sở chính Dior được đặt tại thành phố nào?,Paris,New York,Milan,Luân Đôn
256,Bài hát We Don't Talk Anymore do ca sỹ nào thể hiện?,Charlie Puth và Selena Gomez,Selena Gomez,Justin Bieber,Alan Walker
257,Ai được mệnh danh là ông hoàng nhạc Pop?,Michael Jackson,Justin Bieber,Shayne Ward,Peter
258,EDM là thể loại âm nhạc gì?,Nhạc điển tử,Nhạc đồng quê,Nhạc cổ điển,Nhạc Pop
259,Adele là ca sỹ người nước nào?,Anh,Pháp,Mỹ ,Canada
