id,Questions,A,B,C ,D
21,H? th?ng máy rút ti?n t? d?ng vi?t t?t là gì?,ATM,ATT,AMM,AAT
22,Cáp quang dùng d? làm gì?,Truy?n d?n tín hi?u,Truy?n nu?c,D?n không khí,D?n nhi?t
23,Thi?t b? nào dùng d? nhìn vào vu tr??,Kính vi?n v?ng,Kính lúp,Kính hi?n vi,Kính dâm
24,Galaxy Note 7 là s?n ph?m c?a hãng nào?,Samsung,Apple,Motorola,Ximao
25,M?ng không dây s? d?ng sóng vô tuy?n g?i là gì?,Wifi,Waifi,Waifai,Wifa
26,Thi?t b? nào không dùng d? làm l?nh?,Lò vi sóng,T? l?nh,Ði?u hòa,T? dá
27,Ðâu không ph?i là s?n ph?m c?a Apple?,Galaxy Note 7,iPhone 4,iMac,iPad
28,Ðâu không ph?i là h? di?u hành c?a Windows?,Windows 9,Windows 7,Windows 8,Windows 10
29,Ðâu không ph?i là m?t trình duy?t Web?,Skype,Chrome,Opera,FireFox
30,Phuong ti?n khác v?i các phuong ti?n còn l?i?,Tàu ng?m,Ô tô,Xe máy,Xe l?a
31,Google Play là kho ?ng d?ng c?a….?,Google,Apple,Samsung,IBM
32,Java là m?t lo?i…?,Ngôn ng? l?p trình,Ð? u?ng,Máy tính,Ði?n tho?i
33,S? trao d?i d? li?u không dây t?m g?n gi?a các thi?t b? di?n t? g?i là?,Bluetooth,Wifi,Email,3G
34,Th?y ngân dùng trong công ngh? chi?t xu?t…?,Vàng,Ð?ng,Nhôm,Kim cuong
35,Nang lu?ng nào khác v?i các nang lu?ng còn l?i?,Nguyên t?,Gió,Nu?c,M?t tr?i
36,ZenFone là hãng di?n tho?i d?n t? nu?c nào?,Ðài Loan,Nh?t B?n,M?,Thái Lan
37,Thu?t ng? di?n toán dám mây du?c s? d?ng trong linh v?c nào?,Công ngh?,Kinh t?,Van hóa,Chính tr?
38,B? vi x? lý trung tâm trong máy tính g?i là gì?,CPU,CUU,CPP,PPU
39,Ph?n m?m IDM là ph?n m?m gì?,H? tr? download,Di?t Virut,K? toán,Nghe nh?c
40,Ðâu không ph?i là d?nh d?ng c?a file Video?,MP3,MP4,FLV,AVI
41,Alibaba là t?p doàn…?,Thuong m?i di?n t?,Ô tô,Xe máy,Máy tính
42,Ai là ngu?i sáng l?p ra t?p doàn Alibaba?,Jack Ma,Steve Jobs,Bill Gate,Elon Musk 
43,Jack Ma là ch? t?ch c?a t?p doàn?,Alibaba,Apple,Google,Tesla
44,Tr? s? chính c?a t?p doàn Alibaba ? nu?c nào?,Trung Qu?c,Nh?t B?n,Vi?t Nam,Hàn Qu?c
45,Ðâu không ph?i là c?ng thanh toán qu?c t? tr?c tuy?n?,Google +,Paypal,eBay,Western Union
46,Ðâu không ph?i là m?t trang thuong m?i di?n t??,Samsung,Lazada,Amazon,Alibaba
47,"Công ngh? di?u khi?n hình d?ng, kích thu?c trên quy mô nanomet là?",Nano,Nono,Nana,Nane
48,Tia c?c tím vi?t t?t là gì?,UV,UU,UA,US
49,Tia Ronghen hay còn g?i là tia…?,Tia X,Tia U,Tia A,Tia B
50,M?i ngu?i thu?ng vào vào r?p chi?u phim d?…?,Xem phim,Nghe nh?c,Làm vi?c,Ði an
51,Ngu?i ch? d?o cho quá trình th?c hi?n m?t tác ph?m di?n ?nh g?i là?,Ð?o di?n,Di?n viên,Biên k?ch,Quay phim
52,Kinh dô di?n ?nh ? dâu?,Hollywood,Nh?t B?n,Hàn Qu?c,Thái Lan
53,Cascadeur là di?n viên…?,Ðóng th?,Qu?n chúng,Chính,Nam
54,Ngu?i S?t là b? phim nói v?…?,Siêu anh hùng,Ngu?i m?u,Kh?ng long,Chi?n tranh
55,Ðâu không ph?i là gi?i thu?ng c?a linh v?c di?n ?nh?,Qu? bóng vàng,Mâm xôi vàng,Oscar,Qu? c?u vàng
56,"Nh?c d?n Ð?o di?n, di?n viên, k?ch b?n là nói d?n linh v?c nào?",Ði?n ?nh,Âm nh?c,Kinh t?,Van hóa
57,"Van b?n phác th?o  v? âm thanh, hành d?ng, hình ?nh, ngôn ng? d? k? m?t câu chuy?n là?",K?ch b?n,Ð?o di?n,Di?n viên,Quay phim
58,Xác S?ng là b? phim thu?c th? lo?i phim...?,Kinh d?,Tình c?m,Hài,Ho?t hình
59,M?i ngu?i hay xem phim ? dâu?,R?p chi?u phim,Siêu th?,Ch?,Nhà hàng
60,Ngh? thu?t th? 7 chính là…?,Ði?n ?nh,Âm nh?c,Kinh t?,Van hóa
61, Quá trình phân tích và dánh giá ch?t lu?ng các s?n ph?m di?n ?nh g?i là?,Phê bình di?n ?nh,Phân tích di?n ?nh,Ðánh giá di?n ?nh,Nghiên c?u di?n ?nh
62,Liên hoan phim Berlin ? nu?c nào?,Ð?c,Pháp,M?,?n Ð?
63,"Ngu?i ph? trách quay phim, ph?c trang, âm thanh, d?o c?, d?ng phim g?i chung là….?",K? thu?t viên,Di?n viên,Ð?o di?n,Nhà biên k?ch
64,Thành Long là siêu sao di?n ?nh ngu?i nu?c nào?,Trung Qu?c,Nh?t B?n,M?,Tây Ban Nha
65,Phim v?i nh?ng hình ?nh 3 chi?u g?i là phim…?,3D,3C,3A,3B
66,Kính xem phim 3D ph? bi?n có nh?ng màu gì?,Xanh và d?,Ðen và tr?ng,H?ng và den,Ðen và vàng
67,"C?m t? ch? nh?ng b? phim an khách, doanh thu phòng vé cao, chi phí d?u tu l?n là….?",Bom t?n,Bom x?t,Bom bi,Bom h?t nhân
68,Ngu?i t?o d?ng toàn b? câu truy?n trên phim g?i là?,Nhà biên k?ch,Di?n viên,Ð?o di?n,Quay phim
69,Phim du?c chi?u t?i các r?p chi?u phim du?c g?i là?,Phim nh?a,Phim truy?n hình,Phim gi?y,Phim câm
70,Phim không có ti?ng d?ng ho?c l?i tho?i d?ng b? v?i hình ?nh g?i là?,Phim câm,Phim truy?n hình,Phim ho?t hình,Phim võ thu?t
71,Th? lo?i phim trong dó các bài hát du?c các nhân v?t th? hi?n xen l?n v?i m?ch k? g?i là...?,Phim ca nh?c,Phim hài,Phim võ thu?t ,Phim ho?t hình
72,Tom and Jerry là lo?i phim gì?,Ho?t hình,Hành d?ng,Khoa h?c,Tình c?m
73,C?u bé Pinocchio trong b? phim C?u bé ngu?i g?-Pinocchio có cái mui…?,Dài,To,T?t,H?ch
74,"Tính d?n nam 2016, b? phim là b? phim ?n Ð? dài t?p nh?t?",Cô dâu 8 tu?i,Cô dâu 9 tu?i,Cô dâu 10 tu?i,Cô dâu 7 tu?i
75,Phim Cô dâu 8 tu?i là phim c?a di?n ?nh nu?c nào?,?n Ð?,Nh?t B?n,Hàn Qu?c,M?
76,Ngu?i hay dóng nh?ng c?nh m?o hi?m trong m?t b? phim g?i là di?n viên…?,Ðóng th?,Ph?,Chính,Qu?n chúng
77,Nh?ng ngu?i di nghiên c?u v? các di tích du?c b?o t?n trong các l?p d?t dá?,Nhà kh?o c? h?c,Giáo su,Ti?n si,Chuyên gia
78,D?ng c? nào d? xác d?nh phuong hu?ng?,La Bàn,Nhi?t k?,Ampe k?,Vôn k?
79,Hu?ng nam trên b? m?t là bàn du?c ký hi?u b?ng ch? cái nào?,S,N,W,E
80,Môn th? thao nào hai d?i kéo nhau ? 2 d?u m?t s?i dây th?ng?,Kéo co,Ð?u v?t,Khúc côn c?u,Bóng ném
81,Cao b?i thu?ng m?t qu?n gì?,Jean ho?c qu?n da,Qu?n v?i,Qu?n dùi,Qu?n ng?
82,Cao b?i thu?ng hay dùng gì d? di l?i?,Ng?a,L?c dà,Ô tô,Thuy?n
83,Ðâu là kim lo?i duy nh?t ? trang thái l?ng trong di?u ki?n nhi?t d? và áp su?t phòng tiêu chu?n?,Th?y ngân,Thi?c,K?m,S?t
84,Ch? s? co b?n d? dánh giá s? phát tri?n kinh t? c?a m?t nu?c vi?t t?t là?,GDP,GGP,DDP,GGD
85,Thu? giá tr? gia tang vi?t t?t là gì?,VAT,VTT,VAA,AAT
86,Ðâu là tên g?i c?a m?t v?n d?u tu nu?c ngoài?,ODA,OAA,VAT,GDP
87,Ðâu không ph?i là ngành công nghi?p nh??,Khai khoáng,Gi?y dép,Qu?n áo,Ð? u?ng
88,Ðâu không ph?i là m?t ngành công nghi?p n?ng?,S?n xu?t tiêu dùng,Luy?n kim,Khai khoáng,Hóa ch?t
89,T? ch?c thuong m?i th? gi?i vi?t t?t là gì?,WTO,WHO,VAT,ODA
90,Ðon v? ti?n t? c?a nu?c M? là gì?,USD,B?ng Anh,RUB,Euro
91,Ð?ng Yen là don v? ti?n t? c?a nu?c nào?,Nh?t B?n,Hàn Qu?c,Trung Qu?c ,M?
92,N? c?a chính ph? còn du?c g?i là n? gì?,N? qu?c gia,N? cá nhân,N? d?p,N? công
93,Khái ni?m dùng mô t? tình tr?ng Cán cân thuong m?i có giá tr? nh? hon 0 là?,Nh?p siêu,Xu?t siêu,Nh?p v?a ,Xu?t v?a
94,Cán cân thuong m?i có giá tr? l?n hon 0 du?c g?i là?,Xu?t siêu,Xu?t nh?p kh?u,Nh?p siêu,Xu?t v?a
95,M?c giá chung c?a hàng hóa và d?ch v? không ng?ng tang lên g?i là?,L?m phát,L?m d?ng,Xu?t siêu,Nh?p siêu
96,Các ti?u vuong qu?c ? R?p có nên kinh t? m?nh v?i khoáng s?n gì?,D?u m?,Kim cuong,Vàng ,B?c
97,Nhóm các n?n kinh t? l?n trên th? gi?i vi?t t?t là gì?,G20,G23,G22,G17
98,Thành ph? du?c m?nh danh là Thánh d?a c?a thuong m?i qu?c t??,New York,Hà N?i,B?c Kinh, Seoul 
99,"Ngu?i có ch?c v?, quy?n h?n dã l?i d?ng ch?c v?, quy?n h?n dó vì v? l?i g?i là?",Tham nhung,Tham ti?n,Tham lam,Tham c?a
100,M?t n?n kinh t? có giao d?ch v?i các n?n kinh t? khác g?i là n?n kinh t? gì?,M? c?a,M?t c?a,Ðóng c?a,Hai c?a
101,"Xu?t kh?u, nh?p kh?u, t? giá là nói d?n linh v?c gì?",Kinh t?,Ca nh?c,Phim ?nh ,Van hóa
102,Sàn di?n cho các ngu?i m?u g?i là sàn gì?,Catwalk,Sàn giao d?ch,Sàn s?t,Sàn xe
103,Ðâu là không ph?i là m?t thuong hi?u th?i trang?,Nokia,Gucci,Zara,Levis
104,Ngu?i trình di?n các s?n ph?m th?i trang g?i là gì?,Ngu?i m?u,Ca si,Nh?c si,Di?n viên
105,Ðâu không ph?i là m?t ph? ki?n th?i trang?,Chìa khóa,Ð?ng h?,Nh?n,Vòng c?
106,Ngu?i t?o ra nh?ng b? trang ph?c th?i trang g?i là?,Nhà thi?t k?,Ca si,Nh?c si,Ð?o di?n
107,Tu?n l? th?i trang New York du?c di?n ra t?i dâu?,M?,Canada,Anh,Ý
108,Cu?c thi Next Top Model là cu?c thi v?…?,Ngu?i m?u,Ca si,Nh?c si,Th? thao
109,Áo Dài là trang ph?c d?c trung ? nu?c nào?,Vi?t Nam,M?,Anh ,Pháp
110,Ðâu là m?t b? suu t?p th?i trang theo mùa?,Thu Ðông,Ðông Thu,Thu Hè,Hè Xuân
111,Thu?t ng? dùng d? ch? nh?ng ngu?i m?u th?i trang cao c?p du?c tr? luong c?c cao?,Siêu m?u,Ngu?i m?u,M?u,B?o m?u
112,Ðâu không ph?i m?t t?p chí th?i trang?,Samsung,InStyle,Lucky,Vogue
113,Nhà thi?t k? Victoria Beckham là v? c?a c?u th? nào?,David Beckham,Lionel Messi,Mata,Luis Suarez
114,"Ch? nh?ng ngu?i luôn theo dõi, quan tâm d?n th?i trang g?i là? ",Tín d? th?i trang,Tín d? công ngh?,Tí d? bóng dá,Tín d? âm nh?c
115,"Khi nói t?i nhà thi?t k?, ngu?i m?u là nói d?n linh v?c gì?",Th?i trang,Âm nh?c,Th? thao,Chính tr?
116,Louis Vuitton  là gì?,Hãng th?i trang,Ca si,Nh?c si,Trang di?n t?
117,Nói d?n b? Suu t?p Xuân Hè là nói d?n linh v?c nào?,Th?i trang,Kinh t?,Chính tr?,Van Hóa
118,Catwalk là sàn di?n dành cho ai?,Ngu?i m?u,V?n d?ng viên,Chính tr? gia,Xi?c
119,BigBang là nhóm nh?c c?a nu?c nào?,Hàn Qu?c,Trung Qu?c,Vi?t Nam,M?
120,MV là vi?t t?t c?a t? gì?,Music Video,Music Virtual,Music Vimeo,Music Vest
121,"Trong ti?ng Anh, Music nghia là gì?",Âm nh?c,Ði?n ?nh,Âm thanh,Phim
122,"Khi nói d?n Kpop, ta s? nghi ngay d?n âm nh?c nu?c nào?",Hàn Qu?c,Vi?t Nam,M?,Anh
123,Thu Âm là thu?t ng? du?c s? d?ng trong linh v?c nào?,Âm nh?c,Ði?n ?nh,Bóng Ðá,Th? thao
124,"Nói d?n nh?c Nonstop, chúng ta nghi d?n ngay lo?i nh?c?",Sôi d?ng,Bu?n t?,Tình yêu,C? di?n
125,Nh?ng bài hát dang n?i du?c g?i là?,Nh?c Hit,Nh?c hot,Nh?c hay,Nh?c d?nh
126,Taylor Swift là ca si ngu?i nu?c nào?,M?,Nh?t B?n,Hàn Qu?c,Thái Lan
127,Shakira th? hi?n ca khúc cho World Cup 2010 và….?,2014,2015,2006,2016
128,Chàng ca si Justin Bieber là ngu?i nu?c nào?,Canada,Nh?t B?n,Hàn Qu?c,Nga
129,Ngu?i sáng tác ra m?t ca khúc g?i là gì?,Nh?c si,Ca si,Nh?c công,Ngh? si
130,Phòng thu du?c s? d?ng làm gì?,Thu âm,Sáng tác,Gi?i trí,Ngh? ngoi
131,Nh?c c? nào sau dây du?c làm t? dá?,Ðàn dá,Sáo,Ðàn nh?,Tiêu
132,Ðàn nh? có m?y dây?,2 dây,1 dây,3 dây,4 dây
133,Justin Bieber là ai?,Ca si,Ngu?i m?u,Ði?n viên,H?a si
134,Ai là nhà so?n nh?c n?i ti?ng th? gi?i?,Mozart,M? Tâm,Rihanna,Jenifer Lopez 
135,Nh?c giao hu?ng thính phòng có m?y ngu?i choi?,M?t dàn nh?c,1,2,3
136,Nh?c thính phòng thu?ng du?c bi?u di?n t?i dâu?,Nhà hát,Ngoài tr?i,Bãi Bi?n,Sân v?n d?ng
137,Th? lo?i nh?c nào sôi d?ng?,Nh?c Dance,Tr? tình,Ð?ng quê,Nh?c thính phòng
138,Âm nh?c có ?nh hu?ng nhu th? nào d?n tr? em?,T?t,X?u,C?c x?u,Không ?nh hu?ng
139,Ngu?i choi các nh?c c? g?i là gì?,Nh?c Công,Nh?c si,Ngh? si,Ca si
140,Ngu?i ch? huy m?t dàn nh?c g?i là gì?,Nh?c tru?ng,Nh?c công,Nh?c si,Ca si
141,Khi bi?u di?n ca si c?n s? d?ng gì d? hát?,Micro,Ðàn,Sáo,Tr?ng
142,Nh?c country là th? lo?i nh?c gì?,Nh?c d?ng quê,Nh?c tr? tình,Nh?c c? di?n,Nh?c dance
143,Khuông nh?c là thu?t ng? dùng trong…?,Âm nh?c,Phim ?nh,Th? thao,Kinh t?
144,Nh?ng dòng k? ngang trong b?n nh?c g?i là?,Khuông nh?c,Ð? cao,Tru?ng d?,Âm v?c
145,T? nào sau dây liên quan d?n âm nh?c?,Th?nh âm,Sàn giao d?ch,Di?n viên dóng th?,Phim tru?ng
146,Cover m?t b?n nh?c có b? coi là vi ph?m không?,Không,Có th?,Có,Tùy t?ng bài
147,T? Diva thu?c linh v?c gì?,Âm nh?c,Ði?n ?nh,Kinh t?,Chính tr?
148,Ðàn guitar dùng b? ph?n nào trên co th? ngu?i d? choi?,Tay,Chân,M?m,Mui
149,Nh?ng di?u nào sau dây nói v? dàn Guitar là dúng?,Choi b?ng tay,Không dây,Có 1 dây,Thu?c b? tr?ng
150,An c?p giai di?u c?a b?n nh?c c?a m?t ngu?i khác cho bài hát c?a mình g?i là?,Ð?o nh?c,Sáng tác,K? th?a,Ph?i khí
151,Ph?i khí l?i m?t bài hát dã du?c thu âm g?i là?,Remix,DJ,Nonstop,Dance
152,Khi nói d?n Song Ca thì ta s? nghi d?n ngay linh v?c gì?,Âm nh?c,Phim ?nh,Th? thao,Kinh t?
153,Ðon ca có m?y ngu?i bi?u di?n?,1,2,3,4
154,Hai ngu?i cùng hát v?i nhau du?c g?i là?,Song ca,Ðon ca,Tam ca,H?p xu?ng
155,Song ca là có m?y ngu?i hát cùng nhau?,2,3,4,5
156,M?t ngu?i ca si bi?u di?n g?i là gì?,Ðon ca,Song Ca,Tam ca,H?p xu?ng
157,Ba ngu?i cùng hát v?i nhau m?t bài hát g?i là gì?,Tam ca ,Ðon ca,Song Ca,H?p xu?ng
158,Choi tr?ng b?ng nh?ng b? ph?n nào trên co th??,Tay và chân,Tay,Chân,M?m
159,Saxophone là tên m?t lo?i…?,Nh?c c?,Ban nh?c,Ca si,Nh?c si
160,Nh?c si là ngu?i….?,Sáng tác nh?c,Hát ,Ch? d?o di?n xu?t,Vi?t k?ch b?n phim
161,T? nào sau dây không ph?i là th? lo?i nh?c?,R&C,Pop,Blues,Jazz
162,Khi nói d?n MTV chúng ta nghi d?n ngay di?u gì?,Âm nh?c,Phim ?nh,Kinh t?,Chính tr?
163,Backstreet Boys là tên c?a m?t…?,Ban nh?c,B? phim,Di?n viên,Ca si
164,Lyric trong ti?ng Anh nghia là gì?,L?i bài hát,Ca khúc,Nh?c si,Ca si
165,Nói d?n ca si ta s? nghi ngay d?n linh v?c?,Âm nh?c,Ði?n ?nh,Kinh t?,Chính tr?
166,Ca si là ngu?i làm công vi?c gì?,Hát,Sáng tác,Ph?i khí,Quay video
167,Nh?ng cái nào sau dây không ph?i nh?c c??,Tai nghe,Tr?ng,Kèn,Ðàn
168,Nh?ng cái nào sau dây là nh?c c??,Tr?ng ,Ch?o,Phòng thu,Míc
169,Nh?c c? nào sau dây khác t?t c? các nh?c c? còn l?i?,Sáo,Violin,Guitar,Ukulele
170,Cái nào sau dây là m?t nh?c c??,Sáo,Tai nghe,Loa,Máy nghe nh?c
171,Sony walkman là gì?,Máy nghe nh?c,Tai nghe,Loa,Nh?c c?
172,iPod là gì?,Máy nghe nh?c,Tai nghe,Loa,Nh?c c?
173,Máy nghe nh?c Walkman c?a hãng nào?,Sony,Apple,Samsung,Motorola
174,Máy nghe nh?c iPod c?a hãng nào?,Apple,Sony ,Samsung,Motorola
175,Nh?c lý thu?c linh v?c gì?,Âm nh?c,Kinh t?,Xã h?i,Chính tr?
176,T? nào sau dây ch? n?t nh?c?,Ð?,D?,M?,Són
177,T? nào sau dây không ch? n?t nh?c?,Phá,Ð?,Mi ,Son
178,Môn ngh? thu?t ph?i h?p âm thanh theo quy lu?t nh?t d?nh g?i là?,Âm nh?c,Di?n xu?t,Múa,K?ch
179,N?t nh?c là thành ph?n co b?n c?a…?,Âm nh?c,B? phim,K?ch b?n,Quy?n sách
180,"Khi nói d?n Ðô th?, son tru?ng là ta nghi d?n lo?i nh?c c? nào?",Ðàn Guitar,Sáo ,Kèn,Tr?ng
181,"Nói d?n khuông nh?c, n?t nh?c, nh?p, pháp là chúng ta nói d?n…?",Âm nh?c,Phim ?nh,Kinh t?,Van hóa
182,Thanh nh?c và khí nh?c là 2 th? lo?i c?a?,Âm nh?c,Phim ?nh,Van h?c,Th? thao
183,Ði?u nào nói v? dia nh?c CD là dúng?,Ch? có ti?ng,Ch? có hình,Không có ti?ng,Có c? hình và ti?ng
184,Nh?c ch?t lu?ng cao g?i là nh?c…?,Lossless,Mp3,Mp4,HD
185,Nói d?n Rapper là nói v? linh v?c nào?,Âm nh?c,Ði?n ?nh,Ngu?i m?u,Th? thao
186,"Nam 2016, Lionel Messi dang là ti?n d?o c?a câu l?c b? nào?",Barcelona,MU,Man City,Inter Milan
187,Manchester City là m?t câu l?c b?…?,Bóng dá,Bóng r?,Bóng truy?n,Bóng ném
188,"Ngu?i ch? d?o, d?n d?t m?t d?i bóng g?i là?",Hu?n luy?n viên,C?u th?,Nhà tài tr?,C? d?ng viên
189,Cristiano Ronaldo là ai?,C?u th? bóng dá,Ca si,Di?n viên,Doanh Nhân
190,Cristiano Ronaldo là c?u th? ngu?i nu?c nào?,B? Ðào Nha,Tây Ban Nha,M? ,Anh
191,Sân v?n d?ng t? chim là sân v?n d?ng ? nu?c nào?,Trung Qu?c,Vi?t Nam,M? ,Pháp
192,Ðâu không ph?i là m?t câu l?c b? bóng dá?,Cleveland Cavaliers,Manchester United ,Manchester City,Inter Milan
193,Ðâu không ph?i là m?t v?n d?ng viên qu?n v?t?,Lionel Messi,Rafael Nadan,Serana Williams,Roger Federer
194,Usain Bolt là v?n d?ng viên môn th? thao nào?,Ði?n kinh,Bóng dá,Bóng r?,Bóng ném
195,V?n d?ng viên Vi?t Nam d?u tiên giành huy chuong vàng t?i Olympic?,Hoàng Xuân Vinh,Tr?n Qu?c Cu?ng,H? Thanh H?i,Nguy?n Th? Hoa 
196,Nguy?n Th? Ánh Viên là v?n d?ng viên môn th? thao nào?,Boi l?i,Bóng bàn,Bóng chuy?n,Nh?y cao
197,Ðâu không ph?i là m?t môn th? thao?,Bóng bay,Bóng dá,Bóng r?,Bóng chuy?n
198,Ðâu là m?t danh hi?u c?a môn bóng dá?,Qu? bóng vàng,Qu? t? vàng,Cành c? vàng,Mâm xôi vàng
199,Bóng chuy?n bãi bi?n thu?ng du?c choi ? dâu?,B? bi?n,Trong nhà,Du?i bi?n,Sân v?n d?ng
200,Para Game là d?i h?i th? thao giành cho ai?,Ngu?i khuy?t t?t,Tr? em,Ngu?i già,Thanh niên
201,CR7 là c?u th? nào?,Cristiano Ronaldo,Messi,Suarez,Pique
202,Liên doàn bóng dá th? gi?i vi?t t?t là gì?,FIFA,FIFI,FAFA,FAFI
203,Lionel Messi c?a d?i Barcelona mang áo s? bao nhiêu?,10,7,8,9
204,Neymar là c?u th? bóng dá ngu?i nu?c nào?,Brazil,Vi?t Nam,Trung Qu?c,Hàn Qu?c
205,M?t d?i bóng dá có bao nhiêu ngu?i choi trên sân?,11,12,13,14
206,Ai là hu?n luy?n viên tru?ng d?i tuy?n Asernal nam 2016?,Arsene Wenger ,Sir Alex Ferguson, David Moyes, Joe Kinnear
207,M?t tr?n bóng dá có t?t c? bao nhiêu c?u th? trên sân?,22,23,24,25
208,World Cup là gi?i d?u dành cho môn th? thao nào?,Bóng dá,Bóng bàn,Bóng r?,Ðua xe mô tô
209,Quy?n anh là môn th? thao d?i kháng gi?a bao nhiêu ngu?i?,2,3,4,5
210,Môn quy?n anh hay còn du?c g?i v?i cái tên khác là?,Ð?m b?c,Ð?m b?ch,Ð?m dá,Tay d?m
211,Ðâu là m?t môn th? thao m?o hi?m?,Mô tô d?a hình,Bóng dá,Bóng bàn,C?u lông
212,"Nói d?n xà don, xà kép, xà l?ch là nói d?n môn th? thao nào?",Th? d?c d?ng c?,Bóng bàn,Boi l?i,Leo núi
213,Ðâu không ph?i là m?t môn th? d?c d?ng c??,Ð?m b?c,C?u thang b?ng,Ng?a vòng,Ng?a g?
214,Ðâu không ph?i là m?t môn th? thao d?ng d?i?,Th? hình,Bóng dá,C?u mây,Bóng r?
215,Môn th? thao mô tô d?a hình du?c t? ch?c ? dâu?,Ngoài tr?i,Trên sân kh?u,Trong nhà,Trong sân v?n d?ng
216,C?u thang b?ng thu?c môn th? thao nào?,Th? d?c d?ng c?,Bóng dá,C? t?,Ð?m b?c
217,Ð?i h?i th? thao Ðông Nam Á vi?t t?t là gì?,SEA Games,SET Games,SEE Games,SAA Games
218,Ð?i h?i th? thao Olympic du?c t? ch?c m?y nam m?t l?n?,2,4,6,8
219,?y ban Olympic qu?c t? là t? ch? gì?,Phi l?i nhu?n,Nhà nu?c,T? thi?n,Chính tr?
220,Các ch?t kích thích b? c?m trong thi d?u th? thao g?i chung là gì?,Doping,Thu?c mê,Ma túy,Nu?c tang l?c
221,Ngu?i di?u khi?n m?t tr?n d?u bóng dá g?i là gì?,Tr?ng tài,C?u th?,Hu?n luy?n viên,Phóng viên
222,Th? vàng trong bóng dá du?c tr?ng tài x? d?ng làm gì?,C?nh cáo,Ðu?i kh?i sân,D?ng tr?n d?u,K?t thúc tr?n
223,C?u th? s? b? du?i kh?i sân khi nh?n m?y th? vàng?,2,4,6,8
224,Ngu?i duy nh?t du?c s? d?ng tay khi choi bóng dá là ai?,Th? môn,Ti?n v?,Ti?n d?o,H?u v?
225,Môn th? thao nào có th? môn?,Bóng dá,Bóng chuy?n,Boi l?i,C?u lông
226,C? vua không có quân c? nào?,Pháo,Mã,Xe ,H?u
227,Chung k?t bóng dá là vòng d?u gi?a m?y d?i?,2,4,6,8
228,Thành ph? du?c coi là quê huong c?a Olympic c? d?i?,Athens,Hà N?i,Trung Khánh,Seoul 
229,Vòng thi d?u cu?i cùng d? tìm ra ngu?i hay d?i vô d?ch g?i là?,Chung k?t,Bán k?t,T? k?t,Vòng lo?i
230,Ngu?i choi môn th? thao di?n t? g?i là gì?,Game th?,Cung th?,C?u th?,Ð?i th?
231,Ðâu không ph?i là môn th? thao trí tu??,C? t?,C? vây,C? vua,C? tu?ng
232,David Beckham là v?n d?ng viên môn th? thao nào?,Bóng dá,Bóng bàn,Boi l?i,C? vua
233,Ðâu không ph?i là m?t v?n d?ng viên qu?n v?t?,Son Tùng M-TP,Roger Federer ,Andy Murray,Novak Djokovic
234,Noi di?n ra các tr?n d?u bóng dá du?c g?i là?,Sân bóng,Sân nhà,Sân bay,Sân thu?ng
235,Khi nói d?n gi?i 3 bang là nói d?n môn th? thao nào?,Bi A,Bóng dá,Boi l?i,C?u lông
